Data,Turno Inicio,Turno Fim,Hora Inicio,Hora Fim,Máquina,Motivo Parada,Ferramenta,Custo Hora Máquina
2023-04-13,06:00:00,22:00:00,18:00:00,21:00:00,Máquina 4,Setup,Fer G,150
2023-05-02,06:00:00,22:00:00,12:00:00,15:00:00,Máquina 3,Setup,Fer D,150
2023-12-26,06:00:00,22:00:00,08:00:00,10:00:00,Máquina 8,Falta de Energia,Fer B,220
2023-12-10,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 12,Manutenção Elétrica,Fer A,315
2023-11-10,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 6,Manutenção Mecânica,Fer J,220
2023-07-07,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 15,Periféricos,Fer L,315
2023-02-24,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 4,Falta de Energia,Fer S,150
2023-05-15,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 5,Manutenção Elétrica,Fer D,150
2023-03-30,06:00:00,22:00:00,19:00:00,21:00:00,Máquina 12,Falta Operador,Fer B,315
2023-12-06,06:00:00,22:00:00,17:00:00,20:00:00,Máquina 12,Setup,Fer O,315
2023-02-04,06:00:00,22:00:00,06:00:00,08:00:00,Máquina 14,Setup,Fer D,315
2023-01-02,06:00:00,22:00:00,11:00:00,13:00:00,Máquina 14,Ajuste,Fer R,315
2023-08-06,06:00:00,22:00:00,07:00:00,09:00:00,Máquina 12,Ajuste,Fer N,315
2023-12-17,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 15,Manutenção Ferramenta,Fer H,315
2023-08-01,06:00:00,22:00:00,07:00:00,10:00:00,Máquina 13,Falta de Energia,Fer M,315
2023-02-10,06:00:00,22:00:00,18:00:00,19:00:00,Máquina 13,Falta Operador,Fer G,315
2023-01-09,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 8,Periféricos,Fer Q,220
2023-06-12,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 3,Falta de Energia,Fer J,150
2023-08-19,06:00:00,22:00:00,14:00:00,17:00:00,Máquina 10,Falta Operador,Fer H,220
2023-09-25,06:00:00,22:00:00,06:00:00,09:00:00,Máquina 2,Manutenção Ferramenta,Fer E,150
2023-04-09,06:00:00,22:00:00,13:00:00,15:00:00,Máquina 12,Periféricos,Fer A,315
2023-08-15,06:00:00,22:00:00,19:00:00,22:00:00,Máquina 5,Manutenção Mecânica,Fer E,150
2023-08-06,06:00:00,22:00:00,19:00:00,22:00:00,Máquina 7,Falta Operador,Fer O,220
2023-01-15,06:00:00,22:00:00,15:00:00,16:00:00,Máquina 10,Periféricos,Fer G,220
2023-08-29,06:00:00,22:00:00,18:00:00,20:00:00,Máquina 4,Falta de Energia,Fer G,150
2023-08-25,06:00:00,22:00:00,16:00:00,17:00:00,Máquina 15,Ajuste,Fer M,315
2023-06-09,06:00:00,22:00:00,16:00:00,19:00:00,Máquina 7,Limpeza,Fer B,220
2023-06-19,06:00:00,22:00:00,19:00:00,20:00:00,Máquina 13,Falta de Energia,Fer F,315
2023-10-11,06:00:00,22:00:00,17:00:00,19:00:00,Máquina 12,Manutenção Ferramenta,Fer G,315
2023-07-09,06:00:00,22:00:00,06:00:00,07:00:00,Máquina 1,Falta Operador,Fer T,150
